event,completeTime,case
32,2022-08-30 11:57:00,1533
37,2022-08-30 15:27:00,397
37,2022-08-30 15:27:00,397
37,2022-08-30 15:27:00,397
37,2022-08-30 15:27:00,397
37,2022-08-30 15:46:00,1448
5,2022-08-30 15:55:00,1216
22,2022-08-30 16:22:00,2417
22,2022-08-30 16:22:00,2417
22,2022-08-30 16:22:00,2417
22,2022-08-30 16:22:00,2417
22,2022-08-30 18:26:00,2657
22,2022-08-30 18:28:00,2657
22,2022-08-30 18:29:00,2657
37,2022-08-30 19:51:00,1426
37,2022-08-30 20:20:00,2310
37,2022-08-30 20:20:00,2310
37,2022-08-30 20:21:00,2310
22,2022-08-31 13:42:00,1279
37,2022-08-31 17:21:00,1525
37,2022-08-31 20:54:00,1444
37,2022-08-31 20:55:00,1444
37,2022-08-31 20:55:00,1444
37,2022-08-31 20:55:00,1444
22,2022-09-01 00:39:00,2417
22,2022-09-01 00:39:00,2417
22,2022-09-01 00:39:00,2417
22,2022-09-01 00:39:00,2417
22,2022-09-01 00:39:00,2417
22,2022-09-01 00:41:00,2417
22,2022-09-01 00:41:00,2417
22,2022-09-01 00:41:00,2417
22,2022-09-01 00:42:00,2417
22,2022-09-01 00:44:00,2417
22,2022-09-01 00:45:00,2417
22,2022-09-01 00:45:00,2417
22,2022-09-01 00:45:00,2417
22,2022-09-01 00:46:00,2417
22,2022-09-01 00:47:00,2417
22,2022-09-01 00:47:00,2417
22,2022-09-01 00:47:00,2417
37,2022-09-01 07:08:00,1612
5,2022-09-01 19:03:00,1472
22,2022-09-01 20:30:00,2481
22,2022-09-01 21:39:00,2641
22,2022-09-01 21:39:00,2641
5,2022-09-01 21:39:00,2641
5,2022-09-01 21:53:00,2641
5,2022-09-01 21:54:00,2641
5,2022-09-01 21:56:00,2641
37,2022-09-02 00:44:00,2444
22,2022-09-02 07:38:00,1294
37,2022-09-02 08:13:00,1300
37,2022-09-02 08:14:00,1300
37,2022-09-02 08:14:00,1300
37,2022-09-02 09:06:00,1383
37,2022-09-02 19:07:00,1524
37,2022-09-02 21:41:00,2316
37,2022-09-02 23:15:00,1535
5,2022-09-03 10:27:00,1592
5,2022-09-03 10:29:00,1592
5,2022-09-03 10:29:00,1592
32,2022-09-03 11:17:00,2621
37,2022-09-03 11:26:00,2621
24,2022-09-03 11:28:00,1353
22,2022-09-03 11:28:00,1353
37,2022-09-03 11:29:00,1353
24,2022-09-03 11:30:00,1353
37,2022-09-03 15:22:00,2460
37,2022-09-03 20:43:00,2316
37,2022-09-04 01:38:00,2316
22,2022-09-04 09:41:00,2623
22,2022-09-04 09:54:00,2623
22,2022-09-04 14:09:00,2332
22,2022-09-04 14:09:00,2332
22,2022-09-04 14:10:00,2332
5,2022-09-04 14:10:00,2332
37,2022-09-04 14:15:00,1316
22,2022-09-05 19:01:00,441
37,2022-09-06 00:22:00,1173
37,2022-09-06 00:27:00,1173
37,2022-09-06 00:27:00,1173
22,2022-09-06 08:54:00,1611
22,2022-09-06 08:54:00,1611
5,2022-09-06 08:55:00,1611
22,2022-09-06 10:10:00,2600
37,2022-09-06 10:53:00,2441
37,2022-09-06 10:53:00,2441
37,2022-09-06 10:54:00,2441
37,2022-09-06 10:54:00,2441
37,2022-09-06 11:46:00,2082
22,2022-09-06 13:46:00,2577
37,2022-09-06 15:01:00,1400
37,2022-09-06 21:48:00,1173
37,2022-09-06 21:48:00,1173
37,2022-09-06 21:48:00,1173
37,2022-09-06 21:48:00,1173
37,2022-09-06 21:48:00,1173
37,2022-09-06 21:48:00,1173
22,2022-09-07 10:09:00,2577
22,2022-09-07 14:30:00,1432
37,2022-09-07 15:24:00,1316
37,2022-09-07 15:24:00,1316
37,2022-09-07 15:24:00,1316
22,2022-09-07 20:43:00,2314
32,2022-09-07 20:43:00,2314
22,2022-09-08 10:28:00,2417
22,2022-09-08 11:35:00,2370
32,2022-09-08 11:36:00,2370
37,2022-09-08 17:41:00,1526
37,2022-09-08 17:42:00,1526
37,2022-09-08 17:45:00,2316
37,2022-09-08 17:46:00,2316
22,2022-09-08 18:56:00,2545
22,2022-09-08 19:02:00,2545
5,2022-09-08 19:03:00,2545
22,2022-09-08 19:15:00,1360
37,2022-09-09 00:44:00,1446
37,2022-09-09 00:45:00,1446
37,2022-09-09 08:19:00,1586
37,2022-09-09 08:19:00,1586
37,2022-09-09 08:20:00,1586
37,2022-09-09 08:21:00,1586
37,2022-09-09 16:39:00,1586
37,2022-09-09 16:40:00,1586
22,2022-09-10 00:26:00,1431
5,2022-09-10 00:27:00,1431
22,2022-09-10 00:34:00,1431
5,2022-09-10 00:35:00,1431
22,2022-09-10 10:14:00,1751
22,2022-09-10 10:14:00,1751
37,2022-09-10 10:33:00,2351
37,2022-09-10 20:56:00,2374
37,2022-09-10 20:56:00,2374
37,2022-09-10 22:19:00,1172
37,2022-09-11 00:01:00,1487
37,2022-09-11 00:02:00,1487
37,2022-09-11 00:02:00,1487
37,2022-09-11 00:03:00,1487
37,2022-09-11 00:03:00,1487
22,2022-09-11 18:28:00,2314
32,2022-09-11 18:28:00,2314
32,2022-09-11 18:28:00,2314
37,2022-09-11 19:36:00,1200
22,2022-09-12 00:35:00,1285
22,2022-09-12 00:35:00,1285
22,2022-09-12 00:36:00,1285
22,2022-09-12 11:12:00,1808
37,2022-09-12 14:27:00,1446
37,2022-09-12 14:27:00,1446
37,2022-09-12 14:27:00,1446
5,2022-09-12 21:15:00,1585
22,2022-09-13 10:19:00,1548
22,2022-09-13 10:19:00,1548
22,2022-09-13 10:20:00,1548
5,2022-09-13 10:20:00,1548
37,2022-09-13 19:27:00,2385
37,2022-09-13 20:00:00,2497
22,2022-09-13 20:28:00,1285
22,2022-09-13 20:28:00,1285
22,2022-09-13 20:28:00,1285
5,2022-09-13 20:30:00,1285
5,2022-09-13 20:35:00,1285
22,2022-09-13 20:40:00,1285
22,2022-09-13 20:40:00,1285
5,2022-09-13 20:41:00,1285
5,2022-09-13 20:43:00,1285
5,2022-09-13 20:46:00,1285
5,2022-09-13 20:47:00,1285
5,2022-09-13 20:48:00,1285
37,2022-09-13 20:56:00,2509
22,2022-09-14 00:32:00,1351
37,2022-09-14 09:32:00,2487
37,2022-09-14 09:32:00,2487
37,2022-09-14 09:34:00,2487
37,2022-09-14 09:34:00,2487
22,2022-09-14 14:13:00,1332
32,2022-09-14 14:13:00,1332
32,2022-09-14 14:13:00,1332
22,2022-09-14 21:03:00,2486
22,2022-09-14 21:03:00,2486
5,2022-09-14 21:04:00,2486
5,2022-09-14 21:04:00,2486
5,2022-09-14 21:07:00,2486
5,2022-09-14 21:07:00,2486
5,2022-09-14 21:07:00,2486
22,2022-09-14 21:44:00,2571
22,2022-09-14 21:56:00,2571
22,2022-09-14 21:56:00,2571
5,2022-09-14 21:57:00,2571
5,2022-09-14 22:04:00,2571
22,2022-09-15 00:09:00,2340
32,2022-09-15 09:11:00,1332
5,2022-09-15 14:54:00,1579
5,2022-09-15 14:57:00,1579
5,2022-09-15 14:57:00,1579
5,2022-09-15 14:58:00,1579
5,2022-09-15 14:59:00,1579
37,2022-09-15 18:38:00,1372
37,2022-09-15 18:39:00,1372
22,2022-09-15 21:29:00,2550
22,2022-09-15 21:30:00,2550
22,2022-09-15 21:30:00,2550
22,2022-09-15 21:31:00,2550
5,2022-09-15 21:32:00,2550
37,2022-09-17 09:52:00,1610
37,2022-09-17 13:24:00,1499
37,2022-09-17 14:16:00,1562
5,2022-09-17 16:22:00,1373
5,2022-09-17 16:26:00,1373
5,2022-09-17 16:26:00,1373
5,2022-09-17 16:27:00,1373
5,2022-09-17 16:27:00,1373
22,2022-09-17 17:23:00,2508
22,2022-09-17 17:23:00,2508
22,2022-09-17 17:25:00,2508
22,2022-09-17 17:25:00,2508
22,2022-09-17 17:25:00,2508
22,2022-09-17 22:56:00,1390
22,2022-09-18 00:01:00,1540
32,2022-09-18 00:02:00,1540
32,2022-09-18 00:02:00,1540
32,2022-09-18 00:02:00,1540
32,2022-09-18 00:02:00,1540
32,2022-09-18 00:02:00,1540
22,2022-09-18 00:02:00,1540
22,2022-09-18 00:02:00,1540
5,2022-09-18 00:03:00,1540
22,2022-09-18 00:03:00,1540
22,2022-09-18 00:03:00,1540
32,2022-09-18 00:03:00,1540
32,2022-09-18 00:03:00,1540
22,2022-09-18 00:03:00,1540
22,2022-09-18 11:27:00,2508
22,2022-09-18 11:28:00,2508
37,2022-09-18 22:02:00,2576
37,2022-09-18 22:04:00,2576
37,2022-09-18 22:08:00,2576
37,2022-09-19 08:10:00,1317
22,2022-09-19 10:21:00,2329
22,2022-09-19 10:22:00,2329
5,2022-09-19 10:22:00,2329
5,2022-09-19 10:26:00,2329
22,2022-09-19 10:26:00,2329
5,2022-09-19 10:26:00,2329
5,2022-09-19 10:29:00,2329
37,2022-09-19 14:39:00,2414
37,2022-09-19 20:05:00,2264
22,2022-09-19 21:53:00,1432
32,2022-09-19 21:53:00,1432
32,2022-09-19 21:53:00,1432
32,2022-09-19 21:54:00,1432
22,2022-09-19 22:01:00,2640
22,2022-09-19 22:01:00,2640
22,2022-09-20 08:41:00,1432
5,2022-09-20 11:27:00,1432
22,2022-09-20 14:33:00,2601
22,2022-09-20 14:33:00,2601
22,2022-09-20 14:33:00,2601
22,2022-09-20 16:47:00,1432
32,2022-09-20 16:47:00,1432
32,2022-09-20 16:47:00,1432
37,2022-09-20 20:44:00,2352
37,2022-09-20 20:45:00,2352
37,2022-09-20 20:45:00,2352
22,2022-09-20 21:18:00,1266
22,2022-09-20 21:19:00,1266
22,2022-09-20 21:19:00,1266
32,2022-09-20 21:19:00,1266
32,2022-09-20 21:19:00,1266
37,2022-09-21 11:23:00,2477
22,2022-09-21 13:48:00,1577
37,2022-09-21 18:59:00,1303
37,2022-09-21 19:00:00,1303
37,2022-09-21 22:27:00,1469
22,2022-09-22 02:57:00,1268
22,2022-09-22 02:59:00,1268
37,2022-09-22 11:48:00,2448
22,2022-09-22 15:40:00,1332
22,2022-09-22 15:40:00,1332
22,2022-09-22 15:40:00,1332
5,2022-09-22 19:13:00,1442
5,2022-09-22 19:14:00,1442
5,2022-09-22 19:16:00,1442
5,2022-09-22 19:19:00,1442
5,2022-09-22 19:23:00,1442
37,2022-09-23 00:53:00,1344
22,2022-09-23 10:53:00,1403
22,2022-09-23 10:53:00,1403
22,2022-09-23 11:27:00,2448
22,2022-09-23 11:28:00,2448
5,2022-09-23 11:28:00,2448
5,2022-09-23 11:32:00,2448
22,2022-09-23 11:34:00,2605
22,2022-09-23 11:34:00,2605
5,2022-09-23 11:34:00,2605
5,2022-09-23 11:35:00,2605
5,2022-09-23 11:37:00,2605
22,2022-09-23 11:44:00,1414
22,2022-09-23 11:46:00,1414
22,2022-09-23 11:46:00,1414
5,2022-09-23 11:47:00,1414
22,2022-09-23 13:41:00,1225
32,2022-09-23 13:43:00,1225
32,2022-09-23 13:44:00,1225
22,2022-09-23 13:45:00,1225
22,2022-09-23 13:45:00,1225
22,2022-09-23 13:46:00,1225
22,2022-09-23 13:46:00,1225
32,2022-09-23 13:46:00,1225
32,2022-09-23 13:46:00,1225
32,2022-09-23 13:46:00,1225
22,2022-09-23 16:52:00,1564
22,2022-09-23 16:52:00,1564
22,2022-09-23 16:54:00,1564
22,2022-09-23 16:55:00,1564
37,2022-09-23 21:16:00,1480
22,2022-09-24 11:05:00,1225
24,2022-09-24 11:06:00,1225
22,2022-09-24 11:08:00,1225
37,2022-09-24 14:22:00,2339
37,2022-09-24 14:22:00,2339
22,2022-09-24 15:26:00,1748
22,2022-09-24 15:26:00,1748
22,2022-09-24 15:27:00,1748
22,2022-09-24 15:27:00,1748
22,2022-09-25 17:18:00,1277
22,2022-09-25 17:18:00,1277
22,2022-09-25 17:18:00,1277
32,2022-09-25 17:18:00,1277
5,2022-09-25 17:18:00,1277
5,2022-09-25 17:28:00,1277
37,2022-09-25 18:09:00,1531
37,2022-09-25 18:10:00,1531
22,2022-09-25 19:34:00,1577
22,2022-09-26 09:40:00,1508
37,2022-09-26 14:15:00,2092
22,2022-09-26 18:08:00,1319
22,2022-09-26 18:33:00,2598
22,2022-09-26 18:47:00,2466
22,2022-09-26 19:12:00,2446
22,2022-09-26 19:12:00,2446
22,2022-09-26 19:12:00,2446
5,2022-09-26 19:12:00,2446
37,2022-09-26 20:41:00,1214
22,2022-09-27 00:21:00,1405
22,2022-09-27 00:21:00,1405
5,2022-09-27 00:21:00,1405
22,2022-09-27 11:47:00,1405
22,2022-09-27 11:48:00,1405
22,2022-09-27 11:48:00,1405
7,2022-09-27 11:49:00,1405
37,2022-09-27 14:58:00,2629
37,2022-09-27 14:58:00,2629
37,2022-09-27 16:15:00,2629
37,2022-09-27 16:15:00,2629
22,2022-09-28 00:16:00,1463
22,2022-09-28 00:16:00,1463
5,2022-09-28 00:16:00,1463
37,2022-09-28 13:08:00,2504
22,2022-09-28 14:06:00,1574
22,2022-09-28 15:10:00,2581
5,2022-09-28 16:02:00,2619
22,2022-09-29 20:15:00,1426
22,2022-09-29 20:15:00,1426
22,2022-09-29 20:16:00,1426
5,2022-09-29 20:16:00,1426
5,2022-09-29 20:20:00,1426
22,2022-09-29 20:29:00,2350
22,2022-09-29 20:30:00,2350
22,2022-10-01 01:16:00,2498
37,2022-10-01 08:48:00,1167
37,2022-10-01 08:48:00,1167
22,2022-10-01 11:12:00,1391
22,2022-10-01 11:12:00,1391
22,2022-10-01 15:43:00,2467
22,2022-10-01 15:43:00,2467
5,2022-10-01 15:44:00,2467
22,2022-10-01 23:17:00,2550
22,2022-10-02 00:31:00,881
37,2022-10-02 00:39:00,1519
37,2022-10-02 07:03:00,2592
5,2022-10-02 09:33:00,2175
5,2022-10-02 09:35:00,2175
37,2022-10-02 09:51:00,1522
37,2022-10-02 09:51:00,1522
22,2022-10-02 10:33:00,492
22,2022-10-02 10:49:00,2730
37,2022-10-02 11:24:00,2151
37,2022-10-02 13:47:00,1273
37,2022-10-02 13:49:00,1273
22,2022-10-02 14:10:00,2307
22,2022-10-02 14:29:00,720
37,2022-10-02 14:30:00,2402
5,2022-10-02 15:16:00,877
37,2022-10-02 15:26:00,151
22,2022-10-02 15:45:00,825
22,2022-10-02 15:45:00,825
22,2022-10-02 15:47:00,825
22,2022-10-02 19:01:00,2063
22,2022-10-02 20:39:00,1781
22,2022-10-02 20:41:00,1781
5,2022-10-02 20:42:00,1781
37,2022-10-02 22:32:00,582
22,2022-10-02 23:24:00,2552
37,2022-10-03 00:37:00,292
22,2022-10-03 07:59:00,1003
5,2022-10-03 10:12:00,1855
22,2022-10-03 10:32:00,2296
22,2022-10-03 11:07:00,2632
22,2022-10-03 11:29:00,895
22,2022-10-03 11:29:00,895
21,2022-10-03 11:29:00,895
22,2022-10-03 11:30:00,189
21,2022-10-03 11:44:00,895
22,2022-10-03 15:32:00,169
37,2022-10-03 15:33:00,1890
22,2022-10-03 15:34:00,169
22,2022-10-03 15:34:00,169
22,2022-10-03 15:35:00,169
22,2022-10-03 15:35:00,169
22,2022-10-03 15:35:00,169
22,2022-10-03 15:35:00,169
22,2022-10-03 15:37:00,180
22,2022-10-03 16:05:00,1501
22,2022-10-03 16:10:00,895
22,2022-10-03 16:17:00,1501
22,2022-10-03 16:22:00,895
37,2022-10-03 16:27:00,1890
22,2022-10-03 16:44:00,1968
22,2022-10-03 16:44:00,1968
22,2022-10-03 16:44:00,1968
22,2022-10-03 16:44:00,1968
5,2022-10-03 16:45:00,1968
22,2022-10-03 16:45:00,1968
5,2022-10-03 16:45:00,1968
37,2022-10-03 16:55:00,1324
37,2022-10-03 16:55:00,1324
37,2022-10-03 16:55:00,1324
22,2022-10-03 17:15:00,25
22,2022-10-03 17:24:00,1468
